priority,dept,kind,published,slug,title,byline,url
"2","allergy-immunology","article","2025-07-03","beat-the-pollen-combatting-seasonal-allergies","Beat the pollen — combatting seasonal allergies","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/07/03/beat-the-pollen-combatting-seasonal-allergies/84461246007/"
"1","allergy-immunology","article","2019-05-23","take-control-your-seasonal-allergy-and-asthma-symptoms","Take control of your seasonal allergy and asthma symptoms","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/05/23/take-control-your-seasonal-allergy-and-asthma-symptoms/3767750002/"
"2","allergy-immunology","article","2019-05-03","may-celiac-awareness-month-know-signs-learn-treatment","May is Celiac Awareness Month. Know the signs, learn about the","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/05/03/may-celiac-awareness-month-know-signs-learn-treatment/3661849002/"
"2","behavioral-health","article","2024-05-10","kicking-mom-shaming-to-the-curb-through-moments-of-connection","Kicking mom-shaming to the curb through moments of connection","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/05/10/kicking-mom-shaming-to-the-curb-through-moments-of-connection/73640510007/"
"2","behavioral-health","article","2024-03-22","5-questions-to-recognize-if-anxiety-is-normal-or-a-problem","5 questions to recognize if anxiety is normal or a problem","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/03/22/5-questions-to-recognize-if-anxiety-is-normal-or-a-problem/73071047007/"
"1","behavioral-health","article","2022-10-06","whats-psb-how-to-treat-and-prevent-problematic-sexual-behavior-in-kids","What's PSB? How to treat and prevent “problematic sexual behavior in kids","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/10/06/whats-psb-how-to-treat-and-prevent-problematic-sexual-behavior-in-kids/69544713007/"
"2","behavioral-health","article","2021-05-14","celebrating-moms-their-extraordinary-resilience","Celebrating moms for their extraordinary resilience","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2021/05/14/celebrating-moms-their-extraordinary-resilience/5094107001/"
"2","behavioral-health","article","2020-06-09","autisms-many-physical-and-mental-health-challenges-can-hard-see","Autism's many physical and mental health challenges can be hard to","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/06/09/autisms-many-physical-and-mental-health-challenges-can-hard-see/5322413002/"
"2","behavioral-health","article","2019-11-05","every-individual-and-community-touched-suicide-heres-how-help","Every individual and community is touched by suicide. Here's how to","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/11/05/every-individual-and-community-touched-suicide-heres-how-help/2386281001/"
"2","behavioral-health","article","2019-04-30","early-intervention-gives-children-autism-best-possible-future-takes-ci","Early intervention gives children with autism the best possible future","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/04/30/early-intervention-gives-children-autism-best-possible-future-takes-city/3634070002/"
"1","brain-nerve-care","article","2026-05-01","most-strokes-are-preventable-cut-your-stroke-risk-by-80","Most strokes are preventable — cut your stroke risk by 80%","Charles C. Esenwa, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/05/01/most-strokes-are-preventable-cut-your-stroke-risk-by-80/89891238007/"
"2","brain-nerve-care","article","2025-12-05","how-the-brain-heals-itself-and-how-we-can-help-it-along","How the brain heals itself and how we can help it along","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/12/05/how-the-brain-heals-itself-and-how-we-can-help-it-along/87621993007/"
"2","brain-nerve-care","article","2025-06-27","the-stroke-treatment-that-can-prevent-disability","The stroke treatment that can prevent disability","David J. Altschul, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/06/27/the-stroke-treatment-that-can-prevent-disability/84389479007/"
"2","brain-nerve-care","article","2025-06-20","migraines-no-more-new-discoveries-are-revolutionizing-treatment","Migraines no more? New discoveries are revolutionizing treatment.","Cynthia E. Armand, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/06/20/migraines-no-more-new-discoveries-are-revolutionizing-treatment/84286503007/"
"2","brain-nerve-care","article","2025-05-21","your-at-home-defense-against-stroke","Your at-home defense against stroke","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/05/21/your-at-home-defense-against-stroke/83768705007/"
"2","brain-nerve-care","article","2024-07-24","saving-the-brain-with-advanced-stroke-treatment","Saving the brain with advanced stroke treatment","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/07/24/saving-the-brain-with-advanced-stroke-treatment/74528438007/"
"2","brain-nerve-care","article","2024-05-31","lower-stroke-risk-by-80","Lower stroke risk by 80%","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/05/31/lower-stroke-risk-by-80/73921640007/"
"2","brain-nerve-care","article","2023-08-03","early-multiple-sclerosis-detection-new-treatments-can-prevent-disabili","Early multiple sclerosis detection & new treatments can prevent disability","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/08/03/early-multiple-sclerosis-detection-new-treatments-can-prevent-disability/70514254007/"
"2","brain-nerve-care","article","2023-06-02","how-to-beat-stroke-prevention-and-ai-increasing-speed-to-treatment","How to beat stroke: Prevention and AI increasing speed to treatment","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/06/02/how-to-beat-stroke-prevention-and-ai-increasing-speed-to-treatment/70281153007/"
"2","brain-nerve-care","journey","2021-01-21","even-three-brain-tumors-couldnt-upstage-barbara-and-steal-her-second-a","Even three brain tumors couldn't upstage Barbara and steal her second act","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2021/01/21/even-three-brain-tumors-couldnt-upstage-barbara-and-steal-her-second-act/6658761002/"
"2","brain-nerve-care","article","2019-06-29","culturally-competent-alzheimers-care-benefits-patients-and-their-careg","Culturally competent Alzheimer's care benefits patients and their caregivers","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/06/29/culturally-competent-alzheimers-care-benefits-patients-and-their-caregivers/1606213001/"
"2","brain-nerve-care","article","2019-03-28","self-advocacy-during-brain-tumor-diagnosis-crucial-treatment-process","Self-advocacy during a brain tumor diagnosis is crucial in treatment","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/03/28/self-advocacy-during-brain-tumor-diagnosis-crucial-treatment-process/3301633002/"
"1","cancer-care","article","2026-06-30","could-it-be-skin-cancer-the-signs-spots-and-sun-habits-that-matter","Could it be skin cancer? The signs, spots, and sun habits that matter","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/06/30/could-it-be-skin-cancer-the-signs-spots-and-sun-habits-that-matter/90750426007/"
"1","cancer-care","article","2026-04-28","treating-prostate-cancer-while-preserving-sexual-function-urinary-cont","Treating prostate cancer while preserving sexual function & urinary control","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/04/28/treating-prostate-cancer-while-preserving-sexual-function-urinary-control/89835297007/"
"1","cancer-care","article","2026-04-22","how-more-people-are-beating-lung-cancer-today","How more people are beating lung cancer today","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/04/22/how-more-people-are-beating-lung-cancer-today/89732517007/"
"1","cancer-care","article","2026-04-17","colon-cancer-now-leads-cancer-deaths-under-50-what-to-know","Colon cancer now leads cancer deaths under 50: What to know","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/04/17/colon-cancer-now-leads-cancer-deaths-under-50-what-to-know/89657342007/"
"2","cancer-care","article","2026-03-16","the-shift-in-cervical-cancer-screening-how-new-at-home-hpv-test-fits-i","The shift in cervical cancer screening: How new at-home HPV test fits in","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/03/16/the-shift-in-cervical-cancer-screening-how-new-at-home-hpv-test-fits-in/89179721007/"
"2","cancer-care","article","2026-02-03","beyond-the-stage-what-makes-each-breast-cancer-unique-and-why-it-matte","Beyond the stage — what makes each breast cancer unique and why it matters","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/02/03/beyond-the-stage-what-makes-each-breast-cancer-unique-and-why-it-matters/88489473007/"
"2","cancer-care","article","2025-09-30","new-advances-against-leukemia-lymphoma-and-other-blood-cancers","New advances against leukemia, lymphoma, and other blood cancers","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/09/30/new-advances-against-leukemia-lymphoma-and-other-blood-cancers/86437720007/"
"2","cancer-care","article","2025-06-13","the-abcdes-to-spot-skin-cancer-and-the-5-ss-to-prevent-it","The ABCDEs to spot skin cancer and the 5 S's to prevent it","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/06/13/the-abcdes-to-spot-skin-cancer-and-the-5-ss-to-prevent-it/84185410007/"
"2","cancer-care","article","2025-03-26","stopping-colon-cancer-with-more-testing-options-and-treatment-advances","Stopping colon cancer with more testing options and treatment advances","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/03/26/stopping-colon-cancer-with-more-testing-options-and-treatment-advances/82675359007/"
"2","cancer-care","article","2025-01-31","beyond-the-pap-self-collection-now-a-cervical-cancer-testing-option","Beyond the Pap: Self-collection now a cervical cancer testing option","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/01/31/beyond-the-pap-self-collection-now-a-cervical-cancer-testing-option/78091174007/"
"2","cancer-care","article","2024-09-27","hifu-other-latest-prostate-cancer-treatments-can-preserve-sexual-funct","HIFU, other latest prostate cancer treatments can preserve sexual function","Kara L. Watts, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/09/27/hifu-other-latest-prostate-cancer-treatments-can-preserve-sexual-function/75414022007/"
"2","cancer-care","article","2023-08-28","breastfeeding-is-a-personal-choice-know-the-benefits-for-baby-and-mom","Breastfeeding is a personal choice: Know the benefits for baby and mom","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/08/28/breastfeeding-is-a-personal-choice-know-the-benefits-for-baby-and-mom/70700147007/"
"2","cancer-care","article","2022-11-15","surviving-bladder-cancer-and-keeping-your-bladder","Surviving bladder cancer — and keeping your bladder","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/11/15/surviving-bladder-cancer-and-keeping-your-bladder/69650606007/"
"2","cancer-care","article","2022-06-07","toes-scalp-skin-cancer-can-show-up-unexpected-spots","Toes to scalp: Skin cancer can show up in unexpected spots","Beth N. McLellan, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/06/07/toes-scalp-skin-cancer-can-show-up-unexpected-spots/7545158001/"
"2","cancer-care","article","2022-05-02","stay-ahead-colon-cancer-screening-age-45","Stay ahead of colon cancer by screening at age 45","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/05/02/stay-ahead-colon-cancer-screening-age-45/9620254002/"
"2","cancer-care","article","2020-02-06","cervical-cancer-preventable-screening-and-hpv-vaccination","Cervical cancer is preventable with screening and HPV vaccination","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2020/02/06/cervical-cancer-preventable-screening-and-hpv-vaccination/4679461002/"
"2","cancer-care","article","2019-11-25","low-dose-ct-scan-lung-cancer-screening-saves-lives","Low-dose CT scan lung cancer screening saves lives","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/11/25/low-dose-ct-scan-lung-cancer-screening-saves-lives/4299106002/"
"2","cancer-care","article","2019-11-05","breastfeeding-good-infants-and-boosts-mothers-health-well","Breastfeeding is good for infants and boosts mother's health as well","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/11/05/breastfeeding-good-infants-and-boosts-mothers-health-well/1968236001/"
"2","cancer-care","article","2019-05-31","stay-safe-and-healthy-sun-reducing-your-risk-melanoma-and-other-skin-c","Stay safe and healthy in the sun by reducing your risk of melanoma","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2019/05/31/stay-safe-and-healthy-sun-reducing-your-risk-melanoma-and-other-skin-cancers/1294415001/"
"1","ear-nose-throat","article","2022-09-21","the-three-most-common-vision-disorders-in-children-and-how-to-spot-the","The three most common vision disorders in children","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2022/09/21/the-three-most-common-vision-disorders-in-children-and-how-to-spot-them/69510096007/"
"1","endocrinology","article","2026-03-25","beating-prediabetes-the-indispensable-lifestyle-ally-to-diet-and-exerc","Beating prediabetes: The indispensable lifestyle ally to diet and exercise","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2026/03/25/beating-prediabetes-the-indispensable-lifestyle-ally-to-diet-and-exercise/89314789007/"
"2","endocrinology","article","2025-11-25","the-next-frontier-in-type-2-diabetes-smarter-tech-better-treatment","The next frontier in Type 2 diabetes: Smarter tech, better treatment","Anjali D. Manavalan, MD","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2025/11/25/the-next-frontier-in-type-2-diabetes-smarter-tech-better-treatment/87467779007/"
"2","endocrinology","article","2024-11-27","reversing-prediabetes-could-be-easier-than-you-think","Reversing prediabetes could be easier than you think","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/11/27/reversing-prediabetes-could-be-easier-than-you-think/76622364007/"
"2","endocrinology","article","2024-03-19","advancements-in-obesity-treatment-make-diet-exercise-more-successful","Advancements in obesity treatment make diet & exercise more successful","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2024/03/19/advancements-in-obesity-treatment-make-diet-exercise-more-successful/73027789007/"
"2","endocrinology","article","2023-11-29","stop-and-even-reverse-type-2-diabetes-new-treatments-are-making-it-eas","Stop and even reverse Type 2 diabetes: New treatments are making it easier","","https://www.lohud.com/story/sponsor-story/montefiore-health-system/2023/11/29/stop-and-even-reverse-type-2-diabetes-new-treatments-are-making-it-easier/71741820007/"
